MYCI,CRI
MYAK,COX
MYLD,LGI
MYGF,FPO
MYEM,GHB
MYEF,GGT
MYBG,GHC
MYLS,SML
MYAM,MHH
MYIG,IGA
MYMM,MYG
MYNN,NAS
MYCB,CAT
MYEN,NMC
MYEH,ELH
MYPI,PID
MYER,RSD
MYBS,BIM
MYAP,AXP
MYES,TYM
MYAT,TCB
OBBI,BAH
VGBR,BZL
VGEG,CGP
VGCM,CLA
VGCB,CXB
VGHS,DAC
VGJR,JSR
VGRJ,RJH
VGSD,SPD
VGSY,ZYL
VGSG,TKR
TBPB,BGI
UMBB,BQT
UMGG,GME
UMMG,GNA
UMMS,MSQ
UMMM,MHP
UMII,VTB
EBAW,ANR
EBBR,BRU
EBCI,CRL
EBKT,KJK
EBLG,LGG
EBOS,OST
MZBZ,BZE
DBBB,COO
DBBK,KDC
DBBN,NAE
DBBP,PKO
TXKF,BDA
VQPR,PBH
SLAP,APB
SLBJ,BJO
SLCA,CAM
SLCO,CIJ
SLCB,CBB
SLCP,CEP
SLGY,GYA
SLLP,LPB
SLMG,MGD
SLAG,MHW
SLOR,ORU
SLPS,PSZ
SLRY,REY
SLRI,RIB
SLRB,RBO
SLRQ,RBQ
SLSB,SRJ
SLSM,SNM
SLSI,SNG
SLJV,SJV
SLJO,SJB
SLRA,SRD
SLVR,VVI
SLET,SRZ
SLSU,SRE
SLTJ,TJA
SLTR,TDD
SLVG,VAH
SLVM,VLM
SLYA,BYC
LQBK,BNX
LQMO,OMO
LQSA,SJJ
LQTZ,TZL
FBFT,FRW
FBSK,GBE
FBGZ,GNZ
FBJW,JWA
FBKE,BBK
FBKR,KHW
FBMN,MUB
FBOR,ORP
FBSP,PKW
FBSW,SWX
FBTS,TBY
FBTL,TLD
SBAR,AJU
SBBE,BEL
SBCF,CNF
SBBH,PLU
SBBV,BVB
SBBR,BSB
SBKP,VCP
SBCG,CGR
SBCR,CMG
SBCZ,CZS
SBCY,CGB
SBCT,CWB
SBFL,FLN
SBFZ,FOR
SBFI,IGU
SBGO,GYN
SBIL,IOS
SBIZ,IMP
SBJP,JPA
SBJV,JOI
SBLO,LDB
SBMQ,MCP
SBMO,MCZ
SBEG,MAO
SBMA,MAB
SBMG,MGF
SBNT,NAT
SBNF,NVT
SBPJ,PMW
SBPP,PMG
SBPA,POA
SBPS,BPS
SBPV,PVH
SBRF,REC
SBRP,RAO
SBRB,RBR
SBGL,GIG
SBRJ,SDU
SBSV,SSA
SBSN,STM
SBSR,SJP
SBSL,SLZ
SBGR,GRU
SBSP,CGH
SBTE,THE
SBUL,UDI
SBVT,VIX
TUPJ,EIS
TUPW,VIJ
WBSB,BWN
LBBG,BOJ
LBGO,GOZ
LBPD,PDV
LBSF,SOF
LBWN,VAR
DFOG,XGA
DFOB,BNR
DFOO,BOY
DFOD,DGU
DFEE,DOR
DFEF,FNG
DFEG,XGG
DFEL,XKA
DFON,XNU
DFFD,OUA
DFCC,OUG
DFET,TEG
HBBA,BJM
HBBE,GID
HBBO,KRE
VDBG,BBM
VDPP,PNH
VDSR,REP
FKKU,BFX
FKKV,BPC
FKKI,OUR
FKKO,BTA
FKKD,DLA
FKKS,DSC
FKKW,EBW
FKKM,FOM
FKKR,GOU
FKKB,KBI
FKKF,MMF
FKKL,MVR
FKKN,NGE
FKKC,TKC
FKYS,NSI
FKKY,YAO
CZML,ZMH
CYXX,YXX
CYKD,LAK
CYKO,AKV
CYAL,YAL
CYLT,YLT
CYTF,YTF
CYEY,YEY
CAJ4,YAA
CKB6,YAX
CYYW,YYW
CYEK,YEK
CYIB,YIB
CYAT,YAT
CYLA,YPJ
CYBG,YBG
CYBC,YBC
CYBK,YBK
CZBF,ZBF
CNE3,XBE
CYXQ,YXQ
CYJQ,ZEL
CYBD,QBC
CYBV,YBV
CYTL,YTL
CCE4,YBI
CZTA,YDV
CYVB,YVB
CYBF,YBY
CZBB,YDT
